"","main_Rho","Insectivore_Rho","Vertivore_Rho","main_P","Insectivore_P","Vertivore_P","main_p.adj","Insectivore_p.adj","Vertivore_p.adj","Driver","DriverNumeric"
"CBLN4",1.22828448887664,-1.91198188388202,0.0152370541325496,1,0.0558785177420667,0.987843060165708,1,0.277245136847088,0.995143620329095,"Insectivore",1
"CLDN11",3.08643037024,-0.896061596565576,2.82309549488819,0.0121545231158227,0.370219866306286,0.0047562402458706,0.322612830331181,0.68516471134754,0.0820212739323857,"Both",3
"FAM168A",NA,-0.43227819340819,NA,NA,0.665539234230204,NA,NA,0.869556990386133,NA,"MissingData",5
"RELT",0.616617959687069,-0.624671576573017,0.710897230505367,1,0.532186631717377,0.47714792234478,1,0.797792470399807,0.736494558293249,"Unclear",0
"PKP2",1.14678718223195,-0.683835847390966,0.144933392042607,1,0.494078827558726,0.884763461739608,1,0.775643943428513,0.955706323406003,"DoubleBoth",4
"YIPF1",-0.978502533993229,2.05013407136946,-0.0504918575564467,1,0.0403513493837224,0.959730437858738,1,0.236519047903616,0.984365648065896,"Insectivore",1
"ADCK2",0.454104075132281,0.858892585517264,1.24575422088892,1,0.390399780436074,0.212854640975452,1,0.70069649441793,0.502871241482673,"Unclear",0
"INPP4A",1.05125016146217,-0.117498947271158,0.017553823961646,1,0.906464678222075,0.985994794134714,1,0.970403934304313,0.99442210006749,"DoubleBoth",4
"SLC2A3",0.708644169612444,0.00529493485231644,1.26233031233512,1,0.995775272971866,0.206829953645849,1,0.998300432929303,0.4968129166455,"Vertivore",2
"STYK1",0.752922154178238,0.454576729981216,1.36532462694764,1,0.649413778923971,0.172151042018497,1,0.861755869224612,0.459344576672881,"Vertivore",2
"GNA11",NA,1.58631916339514,NA,NA,0.112666927336128,NA,NA,0.392816524038872,NA,"MissingData",5
"CREB3L3",-1.77727127266455,2.4782291151849,-0.139469247515722,0.453141706834868,0.0132036328537567,0.889079355334567,1,0.132354783504355,0.957643323547189,"Insectivore",1
"HDAC7",-0.24709967727086,0.79639789807571,-0.213147583947049,1,0.425800799564043,0.831211850681914,1,0.727731459313957,0.932871024818886,"Insectivore",1
"MRPS35",-0.822725774532988,2.47250843892835,1.18188771339265,1,0.0134168545926559,0.237250257784032,1,0.133256002507573,0.52876315383946,"Insectivore",1
"APPBP2",NA,1.80500046967492,NA,NA,0.0710746085366781,NA,NA,0.312708891982679,NA,"MissingData",5
"CA11",-0.497327679871819,0.516034424522805,-0.991651585399485,1,0.605830366289771,0.321367515923627,1,0.841218228634232,0.609408030195915,"Vertivore",2
"ISOC2",0.404174737879774,0.294742029707802,0.416594233722376,1,0.768190953574276,0.676975227759818,1,0.914752216168486,0.858669284521691,"Unclear",0
"CD22",1.39135622690796,1.66884097630875,3.18279331903423,0.984704588335002,0.0951488995527665,0.00145861692162887,1,0.362375120500656,0.048894036983237,"Vertivore",2
"GSC2",-0.0219686003420923,0.918773697748536,0.288712389609192,1,0.358213952655663,0.772801480738567,1,0.674186290514155,0.906749291808839,"Insectivore",1
"KCNQ1",1.20548742247127,-1.234152110782,-0.529246832995343,1,0.217146228524373,0.596634232357803,1,0.542350301973486,0.812204370561914,"Insectivore",1
"TRIB2",0.607986035733568,-1.62401818127624,0.358567621571621,1,0.10437192830513,0.719918572391556,1,0.379213956733441,0.879531676567343,"Insectivore",1
"OTUD5",0.406791379568402,0.583822358379773,0.889604047213486,1,0.559339834063831,0.373678532285351,1,0.814476268769411,0.655544231972572,"Vertivore",2
"GPKOW",-1.23596343980734,2.09404145809084,0.152696564756711,1,0.0362562872827853,0.878637569923271,1,0.225227079683956,0.953303775312197,"Insectivore",1
"AQR",1.76357539290945,-0.564082633413148,0.239871197512251,0.46682096180335,0.572697896460693,0.810430110116132,1,0.822365361776344,0.924424696297074,"DoubleBoth",4
"LMCD1",0.846065712107983,-0.117616147933059,1.54742313041485,1,0.906371809557791,0.121761247231807,1,0.970403934304313,0.392295622480633,"Vertivore",2
"PSMC4",NA,0.0540198959504026,NA,NA,0.956919312708495,NA,NA,0.984869206914216,NA,"MissingData",5
