,Background...Insectivore.Rho,Background...Insectivore.P,Background...Insectivore.p.adj
AASDH,2.74511451401306,0.00604897861293169,0.0886508990388877
DLD,0.00800501805079421,0.993612987902019,0.997563419999537
ABCC6,2.13221141828824,0.0329894702119425,0.215095061410047
CMTM6,-1.68311903956377,0.0923520493949266,0.357130516246042
APOH,-0.250543990067214,0.802166690030114,0.92893619194814
SPAG7,0.239379058814789,0.81081166668467,0.931890115953472
RGS17,-0.183214885446417,0.854629415159205,0.950063611306272
CCDC80,0.521340493360973,0.602129597129836,0.83826493514365
HAUS4,-1.5047292674987,0.132393695292282,0.421582708407153
CEBPE,-1.04748425503219,0.294876290216244,0.621114038631705
OSGEP,0.860375596901425,0.389582033224449,0.699926310855142
TGM1,-1.94892548696533,0.0513043238624575,0.268099786514171
TEKT2,2.53654137170393,0.0111953513587752,0.122334545149015
XYLB,-0.50776378502871,0.6116190100761,0.844152974652886
ADH7,0.563654251291055,0.572989457808106,0.822628787871355
KRT23,-1.1497691654051,0.250238958324121,0.575374932565104
CDC6,1.9661807977058,0.0492777297776667,0.262140702975451
AAAS,0.21812412761598,0.827332398862617,0.938012910415313
CBX5,-0.285373447261748,0.775358048132516,0.917382012491344
KLHL20,-1.56472420041419,0.117647591534193,0.399863663488725
FMO2,2.10480205570311,0.0353085421649599,0.221816175699684
RAB26,1.33816692699645,0.180842027682837,0.494910226765098
PSMD5,-0.208422564100957,0.834899039559391,0.942335389751283
NANS,-1.43429711501442,0.151487493255423,0.450004377587638
SEMA4G,2.10798806514378,0.0350320217976732,0.221093050259879
MAPK13,0.748494284775935,0.454162071085043,0.748051937494956
TMEM14A,0.208720938728603,0.834666093390335,0.942138071571305
PRRT1,-0.719911009769203,0.471579788823236,0.762086092094625
ZNF184,0.984325642594322,0.32495542535033,0.648232931253719
VCL,-0.865398122949003,0.386820310898513,0.697911717843156
SIRT1,0.439063665920031,0.660615405401382,0.867459098035565
TGFBR3,0.692813451085581,0.488426629726324,0.772023998897636
TMED1,0.812994056106041,0.416221466048411,0.719707034689427
OCEL1,2.49969005702831,0.0124302004091778,0.128402998274601
PSMD8,-0.0167853151352175,0.986607885072616,0.995496740686607
STX1B,-0.980021572301358,0.327075470270527,0.64969206931002
EFNA2,-0.25558282541118,0.798272981372541,0.92740874104555
FGF22,0.982990894889334,0.325611919917369,0.64856015977353
MARCHF2,0.386734991290382,0.698952408651164,0.884826584803712
NDUFB7,0.631496539014967,0.52771591149878,0.794592561077777
TIMM13,-1.46554584793026,0.142772053222348,0.436146289235024
CDC34,-0.938315455553108,0.348082319337826,0.667128480086683
GADD45B,0.260516006693619,0.794465769912931,0.926219916762656
MAPK12,-0.917582818816848,0.358837316203595,0.67472286626974
SERPIND1,1.06705163236715,0.285948521211306,0.612925096576839
SNAP29,-0.938403008605507,0.348037340390376,0.667128480086683
THAP7,0.0205340298803408,0.983617365875239,0.995023322998978
MMP11,0.55460346587377,0.579165917866989,0.825800422229539
MIF,1.07271659425332,0.283398292618656,0.610364459879856
SF3A1,-0.789588201507172,0.429768300876097,0.73043036477935
USP18,-0.362173771348693,0.717222178415628,0.892970432449811
SEC14L3,-0.767606512245368,0.442720992288184,0.739888574609791
SNRPD3,-0.180393998429303,0.856843265598554,0.950330266389413
MAPK1,-0.98906524814298,0.322631219092381,0.646339071841354
TCN2,2.22244615869074,0.0262531688409624,0.189043808859689
CRYBB3,-3.70546606635117,0.000211002379144836,0.0150666853020205
SLC25A1,0.787604539565636,0.430928058536124,0.731481087109858
PLA2G3,1.6575857749613,0.0974011028214096,0.367413189581622
LGALS2,0.200884316396746,0.840789031436387,0.944427959902316
PDXP,-0.237088355724028,0.812588245655375,0.932577619100159
ASPHD2,0.992249030682373,0.321076060042495,0.644498062814711
LGALS1,1.52702319208953,0.126755244454032,0.413895196888681
PIK3IP1,0.652606963307264,0.514009695281556,0.786889228449069
SRRD,1.66975433132712,0.0949679793556551,0.361941212644207
ANKRD54,-0.68636936517546,0.492480217592537,0.774671556065623
MICALL1,1.39957303811802,0.161641212524995,0.465574777819119
CENPM,-0.908744985817479,0.363484752164275,0.678301214348462
