,Background...Omnivore.Rho,Background...Omnivore.P,Background...Omnivore.p.adj
PPCS,0.247049974444629,0.804869548441621,0.944200327282237
SERPINA7,-0.790646178780005,0.429150491366105,0.782801380263379
ZMYND12,-0.307224706887626,0.758672340938094,0.928645424935727
FOXJ3,-0.273889076160529,0.784169866675828,0.937084850957228
NUP188,0.0284569353235029,0.977297714740009,0.994298316138613
GUCA2B,-0.960072181170765,0.337018888226018,0.722723064973973
IL1RAPL2,0.98438752318121,0.32492501034095,0.71394098940371
HIVEP3,-2.50776965605492,0.0121495839268289,0.206420510787412
SLC22A7,0.0960046834644571,0.923516852880395,0.97930120615209
DOLK,0.138362019095151,0.889954312624861,0.970313630005449
EDN2,-0.401141453411043,0.688315982446986,0.904979217569066
LRRC8A,-0.402003428954983,0.687681502737694,0.904711957974271
GLRA4,2.40228966279855,0.0162928013481703,0.23364447224653
DNTTIP1,0.965198787383147,0.33444525421431,0.720644238870832
CITED4,-3.50346308675873,0.000459250301919827,0.0598292289880381
ENDOG,0.314915366705834,0.752825913856069,0.926396227466171
TBC1D13,0.873022746804798,0.382650679426002,0.753948273268858
ZDHHC12,-0.955718014920451,0.339214718469904,0.724403551088448
RIMS3,0.288021246824782,0.773330474878975,0.932418326368265
SET,1.0841378091454,0.278303701051366,0.678999924166653
WDR34,2.15735315848755,0.0309781580028222,0.296104948601296
DBNDD2,1.00064775021814,0.316997136209885,0.708440561341957
SDC4,-0.947367769508436,0.343451408723459,0.727658918844811
COL9A2,-0.0853215845663593,0.932005732098449,0.981222699141129
MATN4,-0.948348594909453,0.342952019629358,0.727658918844811
ZMPSTE24,-0.368717631795184,0.712338205090001,0.912519239574697
PLAU,-1.30130230877184,0.193154997278097,0.595150076755309
TMCO2,0.474298109780605,0.635287339256162,0.883863526608818
RLF,-1.10954806638022,0.26719382090765,0.670732815287957
CAP1,0.371508298107284,0.710258976504097,0.912243232190096
STK4,-0.2763594901901,0.782271967672495,0.937039788797301
GNMT,1.45519935911382,0.145614078279509,0.535536614981734
MFSD2A,1.79311869231262,0.0729539473654574,0.406307321724989
TOMM34,1.77983592199573,0.075102816894874,0.410076904378477
CHCHD1,-1.0522729734161,0.292674327717532,0.691984563516248
CNPY3,1.00064578631206,0.316998086010741,0.708440561341957
CERCAM,-1.25283235427733,0.210266724283689,0.610988759699314
FUT11,-0.0724618394518258,0.942234373309496,0.984243163714184
RIMS4,NA,NA,NA
HEYL,-0.318837003447227,0.749850116817347,0.925730671177921
PABPC4,-2.47265635035459,0.0134113035241869,0.218631735552872
KCNK15,-1.01253999852294,0.311279932086678,0.706097579072503
CCN5,-1.77863072913851,0.0753003227135629,0.410536093018879
ADA,1.46808303166409,0.142081670140583,0.531864800387539
TBCC,0.0537480058153514,0.957135934941261,0.988723585187026
TRUB2,-1.16482046800744,0.244091671958966,0.647259352381824
UBR2,-1.40857337921426,0.158961355043177,0.556199119567605
TIMM8A,NA,NA,NA
ANXA7,1.82774845726029,0.067587311990972,0.393352124884824
DNM1,-1.32222383206058,0.186093627400385,0.586956419868238
CENPI,-0.87470856656215,0.381732497769667,0.753926195325567
TMEM35A,0.23389284655185,0.815068166827687,0.946320692770437
MRPS16,-2.30338335062201,0.0212572836757017,0.259483094432313
DNAJC9,0.771447902293345,0.440441491131733,0.790868799189966
XKRX,0.699066345767336,0.484510569352479,0.818415327738121
NOX1,2.55949795697548,0.0104823471983775,0.193101940226538
NDUFS5,-3.44866228976473,0.000563370811708805,0.0654001336830236
TAF8,-0.756844792152834,0.44914285395414,0.796129135342857
ECD,-1.72720607550967,0.0841306601143942,0.42985790170103
JPH2,-1.49257391591081,0.135548755420486,0.521323379074283
RHBDL2,0.153374298936648,0.878103111547136,0.965766865086905
