	Herbivore...Insectivore.Rho	Herbivore...Insectivore.P	Herbivore...Insectivore.p.adj														
ST6GALNAC6	1.181200086	1	1														
POF1B	-0.793233767	1	1														
MAP7D1	-0.126940098	1	1														
TSPO2	2.079243758	0.22556971	1														
APOOL	1.871879029	0.367340049	1														
ADPRS	0.693858962	1	1														
SLC29A3	2.63148153	0.051008093	0.58202245														
AGO3	-2.10507213	0.10585509	0.840831158														
PTPRT	-0.682890391	1	1														
SGPL1	2.028898139	0.254811998	1														
ENG	0.557637527	1	1														
ADAMTS14	1.692950369	0.542789487	1														
PRF1	-1.407331759	0.955974217	1														
AGO4	0.120222926	1	1														
SH3BGRL	-0.103335071	1	1														
EIF4EBP2	1.249619089	1	1														
KCNK16	3.653173763	0.001554113	0.104158284														
KCNK17	1.609942467	0.644462502	1														
CHD6	1.713116817	0.520146304	1														
TFAP2E	-1.640730557	0.605120154	1														
PSMB2	0.166206401	1	1														
SAR1A	-0.930963545	1	1														
FPGS	0.751585515	1	1														
AIFM2	0.010978969	1	1														
MACROH2A2	-0.522529332	1	1														
GLP1R	0.454748673	1	1														
LPIN3	2.090617071	0.219374425	1														
CDK9	-0.121683223	1	1														
BRWD3	1.371336733	1	1														
TOR2A	1.206316834	1	1														
TSPAN15	-2.389859509	0.101128913	0.816080849														
CFAP157	2.586711202	0.05813806	0.621047497														
TBX22	1.599851437	0.657789269	1														
STXBP1	-3.262321217	0.006630231	0.209910264														
TACR2	-3.783503651	0.000927816	0.078765421														
NIBAN2	-1.693043373	0.54268327	1														
MAFB	-1.089409944	1	1														
TRAF3IP1	-2.768044376	0.033836266	0.46987024														
TMEM35B	0.830631999	1	1														
ATRX	0.512382162	1	1														
DLGAP3	-0.82194694	1	1														
PBDC1	0.090886907	1	1														
GJB3	0.746298148	1	1														
SPP2	0.806860186	1	1														
SLC2A8	-0.381362646	1	1														
UPRT	-0.404639075	1	1														
GARNL3	-0.046922075	1	1														
AZIN2	-0.140398553	1	1														
TTI1	1.803253888	0.428090105	1														
CMTR1	2.57662081	0.0598628	0.631037167														
RNF19B	-0.268143597	1	1														
TMEM54	0.652539867	1	1														
S100PBP	0.186436122	1	1														
YARS1	0.577879799	1	1														
RNF8	1.392326693	0.982940951	1														
PIM1	0.608069115	1	1														
ZBTB8A	0.994129789	1	1														
CDX4	-0.953614242	1	1														
PABPC1L2A	0.628776921	1	1														
PABPC1L2B	0.551179017	1	1														
RABEPK	1.989841892	0.279650131	1														
PHKA1	-1.080450131	1	1														
HDAC1	-0.840695902	1	1														
GOLGA1	1.421848234	0.930421882	1														
HDAC8	2.829089636	0.028008374	0.426115447														
OLFML2A	1.317462226	1	1														
FAM167B	0.019825303	1	1														
DDX50	0.263113637	1	1														
EIF3I	-0.603191152	1	1														
NR5A1	0.659444952	1	1														
TXLNA	0.302807581	1	1														
GHRH	1.738232865	0.493018742	1														
LHX2	-0.115532684	1	1														
DENND1A	2.446299369	0.086598661	0.753977074														
CRB2	3.13174031	0.01042641	0.2598237														
TET1	5.148423636	1.58E-06	0.002677767														
RABGAP1	1.296061796	1	1														
ADGRB2	0.116989945	1	1														
ZBTB6	0.757799651	1	1														
RBL1	1.958777226	0.300833291	1														
COL16A1	0.118766068	1	1														
CXCR3	-1.390158584	0.986884361	1														
PPIL1	-0.580547418	1	1														
PEF1	-1.259278972	1	1														
SERINC2	1.732424302	0.499188265	1														
OGT	0.463215036	1	1														
KCTD20	2.400908153	0.098126645	0.804528893														
NKAIN1	-1.596397459	0.331200249	1														
DSN1	1.597370498	0.661098868	1														
REEP3	0.298688967	1	1														
MORN5	0.719754995	1	1														
MATN1	1.539080366	0.742708066	1														
NDUFA8	0.37567578	1	1														
ADO	0.871745342	1	1														
RTKN2	2.062125047	0.235174994	1														
SRSF4	-0.386297165	1	1														
GSN	0.753883213	1	1														
TAF12	-1.224894404	0.661845028	1														
SRPK1	2.285881773	0.133567056	0.949661024														
ITGB1BP2	0.766878522	1	1														
TRNAU1AP	-0.653641892	1	1														
PHACTR4	1.360992987	1	1														
NONO	0.321017975	1	1														
MED18	-1.04888116	1	1														
CNTRL	2.810088251	0.02971675	0.440527471														
EYA3	1.192579895	1	1														
XKR8	0.805483227	1	1														
BICC1	0.794423687	1	1														
SMPDL3B	1.649820005	0.593878535	1														
GMPPA	0.676250877	1	1														
THEMIS2	1.318260806	1	1														
MEGF9	1.105598122	1	1														
IPMK	1.1111432	1	1														
ZWINT	2.830554409	0.027880444	0.424676528														
ZNF76	0.403673827	1	1														
FAM76A	-2.589575393	0.057656627	0.618533686														
DKK1	0.713108273	1	1														
PRKG1	0.302841657	1	1														
SCAND1	0.618976001	1	1														
FGR	0.207611697	1	1														
PHF20	2.625682446	0.051885271	0.586437912														
ILRUN	-1.271951521	1	1														
GPR3	0.340152954	1	1														
CD164L2	0.588573986	1	1														
SPDEF	1.616749625	0.635594023	1														
TNFSF15	1.187712978	1	1														
ATP6V1G1	-1.211533165	1	1														
AKNA	4.462045323	4.87E-05	0.023855988														
MED12	-0.905873345	1	1														
NFS1	2.821407335	0.028688069	0.433349791														
OGDHL	0.623853007	1	1														
C10orf53	0.2961388	1	1														
RBM12	1.444246518	0.892017863	1														
SLC18A3	0.656355274	1	1														
ZNF618	-1.148705808	1	1														
RGS3	3.65803898	0.001524914	0.103288617														
C10orf71	-0.814711563	1	1														
RUFY4	1.121000741	1	1														
LRRC18	1.236471331	1	1														
POLE3	1.062740723	1	1														
HDHD3	0.83300201	1	1														
BSPRY	2.405566421	0.096884498	0.801251054														
MAPK8	-2.216011376	0.080072169	0.727504141														
WDR31	1.890711496	0.351977202	1														
IL2RG	-0.162809648	1	1														
CDC26	-0.013799155	1	1														
SLC31A1	-0.843195664	1	1														
UBXN11	-0.07165685	1	1														
SLC46A2	-0.787365593	1	1														
CXorf65	-1.045331864	1	1														
CNKSR1	1.928302445	0.322905107	1														
FOXO4	-0.326145851	1	1														
FAM110D	0.672677393	1	1														
SUSD1	2.66200288	0.046606328	0.558837085														
TRIM63	1.012314983	1	1														
SPAG4	0.39824904	1	1														
SLC30A2	3.258440931	0.006721572	0.210300969														
UGCG	0.826867304	1	1														
EXTL1	1.011437322	1	1														
PAFAH2	1.185078727	1	1														
NPY4R	2.967971923	0.017986303	0.348611231														
ITPR3	1.045990062	1	1														
GPRIN2	0.143404088	1	1														
SYT15	-0.471868123	1	1														
MAN1C1	1.073757095	1	1														
TEX11	0.574836908	1	1														
LDLRAP1	0.045353821	1	1														
PTPN20	1.332995297	1	1														
C20orf173	0.392827342	1	1														
TMEM50A	0.705138857	1	1														
GDF5	1.855553094	0.381103708	1														
CLIC4	1.512726231	0.782095282	1														
GDPD2	-0.361746891	1	1														
UQCC1	1.148883923	1	1														
SRRM1	1.060092265	1	1														
ALOX5	-0.397557736	1	1														
NCMAP	-1.211809792	1	1														
RCAN3	2.029061182	0.254712355	1														
NIPAL3	2.802038462	0.030468491	0.448020519														
KIF4A	2.544164242	0.065723739	0.660988967														
FAM83C	1.186391807	1	1														
STPG1	2.391677767	0.100629359	0.814652062														
MDH1B	4.327543406	9.05E-05	0.024576648														
ADAM23	0.591230913	1	1														
OR2K2	0.79745067	1	1														
MYOM3	-0.15484061	1	1														
MUSK	0.127261553	1	1														
EIF6	-2.214593188	0.160728	1														
CSGALNACT2	0.455858878	1	1														
BAK1	1.646400479	0.598088007	1														
CNR2	3.142996486	0.010033671	0.255375368														
HMGCL	2.074475757	0.228210888	1														
EDEM2	0.528376923	1	1														
TXNDC8	0.3404526	1	1														
LYPLA2	-1.368437842	1	1														
PHF1	0.635349468	1	1														
BMS1	2.37539816	0.105180175	0.836057643														
P2RY4	-0.320166468	1	1														
AWAT1	-2.006586207	0.268762447	1														
PTPN3	1.56506945	0.705399755	1														
EPB41L4B	-0.088795487	1	1														
BMPR2	1.607138917	0.648143388	1														
TMEM245	0.448061282	1	1														
STARD8	-0.145042456	1	1														
HNRNPR	-1.423529412	0.927496453	1														
WDR46	2.169558805	0.18024171	1														
HTR1D	-0.20372473	1	1														
C1QC	-0.541888597	1	1														
C1QA	2.362995701	0.108767279	0.853693736														
HSD17B8	1.63305712	0.614741903	1														
ACTL7B	-1.268923483	1	1														
KLF4	0.683065636	1	1														
SLC39A7	1.915867414	0.332291845	1														
TMEM38B	2.476272159	0.079657399	0.727050255														
HSPG2	1.650896547	0.592558206	1														
AOX1	1.992716922	0.27775472	1														
CCNY	-0.732945297	1	1														
COL11A2	-0.682003472	1	1														
SLC44A1	0.628735546	1	1														
VSIG4	1.763968554	0.466423642	1														
OXLD1	1.033941198	1	1														
SLC38A10	-1.325132045	1	1														
RAP1GAP	0.896271697	1	1														
OR13C3	-0.456780697	1	1														
PARD3	3.706763483	0.001259549	0.094019365														
PPP3R2	-0.912157829	1	1														
TP53INP2	-0.393060564	1	1														
LAS1L	2.312772143	0.124411021	0.913125289														
BRD2	0.516644172	1	1														
ALPL	2.771203943	0.033509661	0.467878058														
HLA-DMA	1.787997763	0.442658213	1														
PSMB9	1.467913926	0.852765629	1														
ITCH	1.007615754	1	1														
MRPL50	-1.405928992	0.958471268	1														
COL5A2	-1.425728847	0.923679757	1														
AMER1	0.33266593	1	1														
ARHGEF9	-0.2776401	1	1														
PSMB8	0.965010856	1	1														
SPIN4	0.109643724	1	1														
TEX10	1.07770463	1	1														
EIF2S2	1.432655606	0.911737693	1														
HLA-DRA	0.239447611	1	1														
APEX2	1.028413128	1	1														
COL15A1	-1.27821437	1	1														
GALNT12	0.142754763	1	1														
NOTCH4	0.937299496	1	1														
TMEM225	2.498893547	0.074749037	0.70455532														
GPSM3	-0.137748643	1	1														
PBX2	-1.989228991	0.2800556	1														
AGER	0.022336661	1	1														
CDA	-1.362711862	1	1														
CORO2A	-0.891502877	1	1														
VWA5B1	0.570852527	1	1														
TRIM14	-1.386978264	0.992690346	1														
UBXN10	0.800657123	1	1														
PLA2G2F	-0.952607327	1	1														
PLA2G2D	2.191977606	0.170286742	1														
PLA2G5	0.009791033	1	1														
PLA2G2E	0.535211301	1	1														
TRMO	1.883210346	0.358031205	1														
OTUD3	0.751616257	1	1														
RNF186	1.044031948	1	1														
XPA	1.013915253	1	1														
FGD1	-2.140548352	0.193862866	1														
TSR2	2.673239636	0.045073539	0.550619101														
SLC66A1	1.937997615	0.315741081	1														
FKBPL	1.683111604	0.554120931	1														
FAM120C	-2.107485455	0.210453127	1														
EMC1	0.232322758	1	1														
ZNF341	2.226872297	0.155734859	1														
ATF6B	0.531610223	1	1														
MAP3K20	1.273238308	1	1														
PRXL2C	1.497285191	0.805914399	1														
CDC14B	0.935214315	1	1														
TMEM94	-0.600363724	1	1														
HABP4	0.812668495	1	1														
UBR4	1.871401251	0.367736914	1														
DCAF17	-0.323862108	1	1														
HSD17B3	1.964127437	0.29709189	1														
UPF3A	2.692858388	0.042505411	0.533511188														
SIK3	-0.97805524	1	1														
AOPEP	0.515831713	1	1														
LYZL2	1.539517172	0.742068534	1														
RIBC1	0.102256274	1	1														
ALDH4A1	4.037604206	0.000323999	0.045458468														
MFSD14B	-0.767465972	1	1														
DXO	0.199390124	1	1														
TMEM255B	2.029272387	0.254583325	1														
G6PC2	0.438543862	1	1														
BTBD17	-0.153607924	1	1														
TAS1R2	2.847912331	0.026404227	0.410038329														
PAX7	-0.028195071	1	1														
JCAD	2.180862639	0.175161467	1														
SKIV2L	-2.518078914	0.070798128	0.68558431														
KDM5C	0.420762991	1	1														
ACTL8	0.805192781	1	1														
ADPRHL1	2.568114436	0.061352036	0.639849983														
NELFE	0.203274113	1	1														
GRTP1	0.81540021	1	1														
SCN2A	-1.548062375	0.729643678	1														
TSPYL2	-0.600026491	1	1														
BUD13	0.453964178	1	1														
PADI4	-0.022887104	1	1														
BPIFA3	0.413722806	1	1														
PADI3	0.475405231	1	1														
CARD19	-2.39081573	0.100865927	0.815038895														
PADI1	2.3001736	0.128630321	0.931728389														
SUSD3	-1.649268275	0.594556117	1														
NXPE4	0.462185035	1	1														
FGD3	-0.896148734	1	1														
BPIFB4	0.910942089	1	1														
PADI2	1.668925374	0.570793022	1														
RBM7	-0.63015121	1	1														
BPIFB3	2.114970899	0.206594566	1														
SDHB	1.102624114	1	1														
LYZL1	0.685698172	1	1														
CROCC	1.020712896	1	1														
ASPN	-0.478316161	1	1														
SDHD	0.511398327	1	1														
OMD	1.947921608	0.308546063	1														
F10	0.085364676	1	1														
OGN	1.152538707	1	1														
MAPRE1	0.202592436	1	1														
CENPP	0.133006319	1	1														
FBXO42	0.762309531	1	1														
CPLANE2	0.308500205	1	1														
MCF2L	2.401499768	0.097968117	0.804528893														
LAYN	1.350763741	1	1														
ATP11A	0.975150231	1	1														
NEU1	0.379185507	1	1														
IARS1	-1.498991496	0.803255029	1														
FAM131C	0.614087668	1	1														
VARS1	1.03666583	1	1														
CLCNKB	2.472098636	0.08059347	0.727552864														
VWA7	1.386091295	0.994314169	1														
MSH5	0.730523286	1	1														
ROR2	-0.801705623	1	1														
AUH	0.599520198	1	1														
MPP7	0.232395625	1	1														
ZBTB17	-0.095184861	1	1														
POFUT1	2.26033109	0.142804259	0.974508992														
SYK	0.912567369	1	1														
DIRAS2	0.551286142	1	1														
FBLIM1	1.703177928	0.531208656	1														
TMEM82	2.042722864	0.246479281	1														
MKX	1.850459141	0.385484411	1														
PLEKHM2	1.120390141	1	1														
SECISBP2	2.265386121	0.140933972	0.97060746														
COL4A1	-0.803823898	1	1														
AGMAT	2.19408614	0.169375305	1														
LY6G6F	4.221931771	0.00014533	0.031907553														
SHC3	-1.946784077	0.309363761	1														
DNAJC16	2.274966222	0.137447737	0.961446734														
HCK	1.668012402	0.571879589	1														
NXNL2	-1.925862568	0.324729219	1														
SPIN1	-1.430335761	0.915724054	1														
LY6G5B	2.350420234	0.112513359	0.869912027														
CSNK2B	0.690619681	1	1														
TNFSF13B	1.420839496	0.932180554	1														
